Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Asle Farestad,Male,Norway,0 days 02:55:00,0 days 00:05:02,0 days 07:46:17,0 days 00:05:02,0 days 06:59:01,0 days 17:50:21,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Frode  VittersÃ¸,Male,Norway,0 days 01:58:47,0 days 00:10:05,0 days 08:59:53,0 days 00:10:05,0 days 06:31:55,0 days 17:50:45,White,1000 meters,3800.0,180.0,42.0,2008.0
Geir Nese,Male,Norway,0 days 02:44:15,0 days 00:10:42,0 days 07:55:47,0 days 00:10:42,0 days 06:50:16,0 days 17:51:43,White,1000 meters,3800.0,180.0,42.0,2008.0
Guy Mehti Huste,Male,Norway,0 days 01:19:35,0 days 00:12:17,0 days 08:39:19,0 days 00:12:17,0 days 07:29:12,0 days 17:52:40,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Paul Allsop,Male,United Kingdom,0 days 01:50:20,0 days 00:10:56,0 days 08:02:13,0 days 00:10:56,0 days 07:38:35,0 days 17:53:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Jone Jonsson,Male,Norway,0 days 01:49:23,0 days 00:04:40,0 days 08:49:07,0 days 00:04:40,0 days 07:09:00,0 days 17:56:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Kaj  SÃ¸rensen,Male,Denmark,0 days 01:41:35,0 days 00:08:03,0 days 08:03:29,0 days 00:08:03,0 days 08:01:10,0 days 18:02:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Gunnar Alfheim,Male,Norway,0 days 02:32:50,0 days 00:12:50,0 days 07:54:37,0 days 00:12:50,0 days 07:12:44,0 days 18:05:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Ottar RÃ¸ed,Male,Norway,0 days 01:50:30,0 days 00:06:46,0 days 08:29:07,0 days 00:06:46,0 days 07:34:41,0 days 18:07:50,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Stig Ottar Jensen,Male,Norway,0 days 02:28:55,0 days 00:09:04,0 days 08:10:13,0 days 00:09:04,0 days 07:11:27,0 days 18:08:44,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Ãystein StavÃ¸ HÃ¸vig,Male,Norway,0 days 02:02:10,0 days 00:16:46,0 days 09:21:00,0 days 00:16:46,0 days 06:13:27,0 days 18:10:08,White,1000 meters,3800.0,180.0,42.0,2008.0
Andreas Nilsen,Male,Norway,0 days 02:09:07,0 days 00:08:40,0 days 08:36:58,0 days 00:08:40,0 days 07:08:13,0 days 18:11:37,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
GÃ¼nther  Knuth,Male,Germany,0 days 02:22:25,0 days 00:06:42,0 days 08:22:12,0 days 00:06:42,0 days 07:21:03,0 days 18:19:03,White,1000 meters,3800.0,180.0,42.0,2008.0
GÃ¼nter Goetsch,Male,Germany,0 days 02:14:20,0 days 00:08:10,0 days 09:08:22,0 days 00:08:10,0 days 06:47:47,0 days 18:26:48,White,1000 meters,3800.0,180.0,42.0,2008.0
Trond Haddeland,Male,Norway,0 days 02:20:45,0 days 00:07:38,0 days 07:38:14,0 days 00:07:38,0 days 08:13:46,0 days 18:28:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Neill Martin,Male,United Kingdom,0 days 01:36:45,0 days 00:06:58,0 days 09:07:04,0 days 00:06:58,0 days 07:32:49,0 days 18:30:35,White,1000 meters,3800.0,180.0,42.0,2008.0
Kjell Eirik Irgens Henanger,Male,Norway,0 days 02:29:30,0 days 00:06:45,0 days 08:13:46,0 days 00:06:45,0 days 07:43:11,0 days 18:39:57,White,1000 meters,3800.0,180.0,42.0,2008.0
Rachel Powell,Female,United Kingdom,0 days 02:03:40,0 days 00:12:46,0 days 09:58:17,0 days 00:12:46,0 days 06:28:11,0 days 18:55:39,White,1000 meters,3800.0,180.0,42.0,2008.0
Runar Vartdal,Male,Norway,0 days 02:13:15,0 days 00:11:16,0 days 09:20:55,0 days 00:11:16,0 days 07:16:17,0 days 19:13:00,White,1000 meters,3800.0,180.0,42.0,2008.0
Per Anders Grava,Male,Denmark,0 days 01:58:59,0 days 00:10:54,0 days 08:18:07,0 days 00:10:54,0 days 08:46:02,0 days 19:24:55,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Morten Dahl Hermansen,Male,Norway,0 days 02:08:05,0 days 00:07:44,0 days 09:41:26,0 days 00:07:44,0 days 07:21:10,0 days 19:26:10,White,1000 meters,3800.0,180.0,42.0,2008.0
Tom Remman,Male,Norway,0 days 00:51:22,0 days 00:01:03,0 days 05:55:15,0 days 00:01:03,0 days 04:31:05,0 days 11:19:48,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Henrik Oftedal,Male,Norway,0 days 01:12:53,0 days 00:01:25,0 days 05:45:46,0 days 00:01:25,0 days 04:21:29,0 days 11:22:58,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Daniel Blankenfuland,Male,Germany,0 days 00:53:11,0 days 00:02:11,0 days 06:04:06,0 days 00:02:11,0 days 04:41:33,0 days 11:43:12,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Henning Dybendal,Male,Norway,0 days 01:07:31,0 days 00:02:46,0 days 06:15:23,0 days 00:02:46,0 days 04:21:48,0 days 11:50:13,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Tronn Skjerstad,Male,Norway,0 days 01:08:59,0 days 00:02:32,0 days 05:40:38,0 days 00:02:32,0 days 05:02:40,0 days 11:57:22,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Henrik Sollie,Male,Norway,0 days 01:19:06,0 days 00:02:56,0 days 06:22:52,0 days 00:02:56,0 days 04:20:56,0 days 12:08:46,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
PÃ¥l Cato Elshaug,Male,Norway,0 days 01:11:01,0 days 00:02:07,0 days 06:20:33,0 days 00:02:07,0 days 04:41:25,0 days 12:17:13,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Tore Sand-Hanssen,Male,Norway,0 days 01:07:09,0 days 00:02:48,0 days 06:41:13,0 days 00:02:48,0 days 04:31:37,0 days 12:25:35,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Joachim Reitan,Male,Norway,0 days 01:11:30,0 days 00:03:36,0 days 06:27:12,0 days 00:03:36,0 days 04:47:18,0 days 12:33:12,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
David  Ekroll,Male,Norway,0 days 01:13:58,0 days 00:01:54,0 days 06:13:36,0 days 00:01:54,0 days 05:03:33,0 days 12:34:56,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
Tor Erik Helgesen,Male,Norway,0 days 01:06:13,0 days 00:08:08,0 days 06:18:58,0 days 00:08:08,0 days 05:12:37,0 days 12:54:03,Black,Gaustatoppen,3800.0,180.0,42.0,2009.0
